text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
عيد ميلاد سعيد بطول العمر و كل المتمنيات 🎉🎊🎊🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
: ppl be like yeah i know everything abt u .... bro my fav color changes every week,positive,positive,positive,positive,positive,positive,positive,negative,positive
شكرا 🙏,positive,positive,positive,positive,positive,positive,positive,positive,positive
مستشفى أكادير يستعد لتوديع أخر حالة مصابة بفيروس كورونا بجهة سوس ماسة حيث من المرتقب أن يغادر المستشفى يوم غد الإثنين .,negative,negative,negative,negative,negative,negative,negative,negative,negative
+101 nouveaux cas --> total :8793 +69 cas de guérision -->total :7765 +0 décès --> total :212 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
قال بلاغ صادر عن وزارة الصحة والداخلية أنه تقرر تجميع كل حالات كورونا، الحالية والمستقبلية، في مركزين ببنجرير وبنسليمان. و يتعلق الأمر بـنحو 700 حالة نشطة. المصدر : rue20,negative,negative,negative,negative,negative,negative,negative,negative,negative
ما شاء الله 😍😍😍😍 الله احفظو لييك,positive,positive,positive,positive,positive,positive,positive,positive,positive
+82 nouveaux cas --> total :8692 +78 cas de guérision -->total :7696 +0 décès --> total :212 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: و ماذا عن إلياس شاب في زهو الربيع ، 18 سنة قتل بشكل وحشي على يد 6 عناصر في إسبانيا ، و الفيديو يوثق اللحظة و الأم تطالب…,negative,negative,negative,negative,negative,negative,negative,negative,negative
": في المعجم الوسيط ل إبن حيان يتم تعريف فعل زطط كالآتي : زطط فعل ماض بمعنى أوصل شيئا إلى بر الأمان و منه اشتق اسم الفاعل ""…",negative,negative,negative,negative,negative,positive,negative,negative,negative
: حسب محامي هيئة أكادير السبب وراء تنازل أب إكرام هو ضغط الأسرة. ثقافة السكوت على العيب لي منتشرة في المغرب بدرجات متفاوتة…,negative,negative,negative,negative,negative,negative,negative,negative,negative
من بعد ما دارت قضية اكرام ضجة .. عاد خرجو القضايا لوخرين كايقلبو على العدالة ...يعني هادشي كانو متسامحين معاه فديك المنطقة ، كايدوز بحال إيلا ماطاري والو 😢,negative,negative,negative,negative,positive,negative,negative,negative,negative
: أين نحن من قضية هذا الشاب المغربي و ما فعلت به السلطة الإسبانية ..واش مايستحقش منك واخا غا نستنكر و نشجب ووووو,negative,negative,negative,negative,negative,negative,negative,negative,negative
: في مثل هذا اليوم غادرنا الى دار البقاء...,negative,negative,negative,negative,negative,negative,negative,negative,positive
بعد إكرام ظهور قضايا اغتصاب أخرى بنفس المنطقة (نواحي طاطا ) 😢😢😢,negative,negative,negative,negative,positive,negative,negative,negative,negative
: معرفت علاش حسيت براسي بقا فيا الحال و الله ، أو باش الإعلام الإسباني و العربي يهضر على القضية ، و يوصل ترند رقم 1 فالمغ…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: كاين لي مكرفس فحياتو ملي تزاد وتزاد تكرفس هو وليداتو مع كورونا.....وكاين لي حيث مشربش قهوة.. فلقهوة 3 أشهر داير لينا بوطز…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: بكيت بحرقة على هد الانسان وبالنسبة ليا هو مماتش منتحر هو مات مقتول، وفينما كان غادي يكون بيخير غادي يكون بسلام، غادي يكون فال…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: شاهدت الفيديو، الخاص بولي أمر الطفلة إكرام ، ولاحظت أنه يحاول تبرير قرار تنازله عن حق ابنته ، وذلك بقوله أنه تعرض لضغوط…,negative,negative,negative,negative,positive,negative,negative,negative,negative
