text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
اجي هاك الطاجين راك فزت به سربي ما حدو سخون. بالصحة والعافية.,positive,negative,negative,negative,negative,negative,negative,negative,negative
اخصنى انديروها ابنات ميدالت فالصيف فالمو صمورة متافقين ويشجعون ولداتنا تخيلوها هههههههه,positive,negative,negative,negative,negative,negative,negative,negative,negative
الفلاح هوا العمود الفقري ديال المغرب تبرك الله عليك الله يعونك,positive,negative,negative,negative,negative,negative,negative,negative,negative
كاين الخير والأرض خضارت والفلاح نشط مع هاد الأمطار غير كاين سمر والبرد مع الصباح حيت ليالي قريبة والحمد القوي العزيز,positive,negative,negative,negative,positive,negative,negative,positive,positive
المدير ديالنا فالكونسيرفاطوار ديال أكادير..... فنااااان....,positive,negative,negative,negative,negative,negative,negative,negative,negative
ان لله وان اليه راجعون الله يصبرك يا الحبيبة ربي معاك,positive,negative,negative,negative,positive,negative,negative,negative,negative
الله يرزقك البصر  انا لله وإنا  إليه  راجعون  وفراق صعيب,positive,negative,negative,negative,negative,negative,negative,negative,negative
هاد السيد معقول..ما كيلوم حتى واحد اعترف انه غلط..وكينصح الشباب..كنتمناو ليه الشفاء من عند الله سبحانه...,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله يبارك في الفقيه تبارك الله  وهذاك الشاب بان عيبوا باغي يتفتح في الدين ويتعامل معكم بالعاطفة عيا ما يدور,positive,negative,negative,negative,positive,negative,negative,negative,negative
كون غير كاديرو بحا ل هاكا مرة مرة حسن ليكوم من الكذوب,positive,negative,negative,negative,negative,negative,negative,negative,negative
"الله ارحم الوالدين
والله مكنقلد الغرب ولا كنحتفل بعيدهم.
وخا اولادي يبكيو لي على الحلوة بقوة ما عباد الله اشريو فيها",positive,negative,negative,negative,negative,negative,negative,negative,negative
سبحان لله ولله عجبوني هادو لي تبعوها مغااربة حققيين علااش شديتوه مسكين,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله يسهل عليه  والله يفرج على جميع الشباب يتزوجو في الحلال ويستقرو,positive,positive,positive,positive,positive,positive,positive,positive,positive
درويش كافي شره في خيره احامد الله والابتسامة من فوق,positive,negative,negative,negative,negative,negative,negative,negative,negative
خوتي ديرو جيم لبغيتوتكلو لفريت كل حترام وتقدير ناس فلاحين,positive,negative,negative,negative,negative,negative,negative,negative,negative
خصك تعرف يشباب كول من حرب.    ألإستعمار كان ميثلك كان يلبس جلب كان رجول من نعيمة أريجال أنت بطال,positive,negative,negative,negative,negative,negative,negative,negative,negative
تحيه لناس صفرو الغااليه واش كااين شي بيض وشي حب الملوك؟؟؟,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله يفرجها عليك وهد الصباح الفتاح وراك بكتني وانا عالم ليا غير الله,positive,positive,positive,positive,positive,positive,positive,positive,positive
حمدنا ربي و شكرناه راه بنتو ليا مخلصين من عند شي بعضين !,positive,positive,positive,negative,positive,negative,negative,positive,positive
والله الي كلامك جميل وراءع يريح القلب بارك الله فيك ختي  مليكة لويطفي,positive,negative,negative,negative,positive,negative,negative,negative,negative
الله يشافيه ويهدي الأب ديالو شكون ليسماح فهد الملائكة الله يشوف من حالو,positive,negative,negative,negative,negative,negative,negative,negative,negative
الحمد لله .الله يرحم الوالدين قلبي كان غادي يوقف .الحمد لله.,positive,negative,negative,negative,negative,negative,negative,negative,negative
انت تستاهل ميات الف جيم انت لي كتخدم المغرب ماشي بحال شي وحدين ناعسين اكيشدو  الملايين,positive,negative,negative,negative,positive,negative,positive,positive,positive
دنيا بوطازوت احسن ممثلة عمرنا مشفناها عريانا في فيلم أو كنتفرجو مع واليدينا والعائلة كتقتل بي ضحك الابتسامة مكتفراقش وجها الجميل الله يوفقها يارب,positive,negative,negative,negative,negative,negative,negative,negative,negative
زعما معرفتوش راه هيالحبيبة مي  الله يخليها لنا يارب يارحمان يا رحيم,positive,negative,negative,negative,positive,negative,negative,negative,negative
إن لله وأنا إليه راجعون وﻻحولة وﻻقولة اﻻ بالله الله يرحمو,positive,negative,negative,negative,negative,negative,negative,negative,negative
الحمدلله ملي كنشوفومزال ناس كيفكرونا فالحياة الجميلة,positive,negative,negative,negative,positive,negative,negative,positive,positive
الله يكون معاك اختي بقيتي فيا لا حول و لا قوة الا بالله العظيم,positive,negative,negative,negative,positive,negative,negative,negative,negative
اهم حاجة هي التوبة وراكي ربحتي ولد مرضي الله يطول ليك ف عمرو,positive,negative,negative,negative,negative,negative,negative,negative,negative
بصراحة الله يسمح لينا منكم الله يهدينا ويهدي الجميع,positive,negative,negative,negative,negative,negative,negative,negative,negative
أكثر حيوان عزيز عليه ولدو هو الحمار...إلى طاح فشي بير ايتبعو...سبحان الله,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله يدير لك تاويل الخير ويعوضك في ولدك خير ان شاء الله,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله معاك اختي الكريمة ، الله أكون في عاونك وربي معاك اعينك,positive,negative,negative,negative,negative,negative,negative,negative,negative
حنى عايشين الحمد لله بيهم أو بلا بيهم اللهم لك الحمد والشكر,positive,negative,negative,negative,negative,negative,negative,negative,negative
العتماني حيت شلح أو شلوح هما لي هازين  لاقتصاد او عندهم تجريبة.,positive,negative,negative,negative,negative,negative,negative,negative,negative
انا فنظري إلى بغا العدالة والتنمية يتقنها يقدم بسيمة الحقاوي ولا ماء العنين ولا حتى بنخلدون لمهم تكون مرة عرفتي غا نبانو بلاد ديمقراطي صحة على العالم,positive,negative,negative,negative,positive,negative,negative,negative,negative
سيدنا الله ينصروا مادام اعفاه الا او عارف فين مصلحة البلاد,positive,negative,negative,negative,negative,negative,negative,negative,negative
نتمنى يعطيونا الرخصة تاع البناء في طنجة هههههههههههههههه,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله اعلي راية المغرب عالية ويحفض مليكنا الغالي لعزيز,positive,negative,negative,negative,negative,negative,negative,negative,negative
على الله غير يرجع داك الشئ لي خسر بنكيران ويرجع شوية التقة للمغاربة,positive,negative,negative,negative,positive,negative,negative,negative,positive
لعز لبينكران ولد داخيل مكيبيع لماتس وخا تجيه مال دانيا عرفتو شكون ولد داخيل هادا لعز لبينكران راك فقلوبنا,positive,negative,negative,negative,negative,negative,negative,negative,negative
تحياتي العتماني كنتمنة اشوف من جهت الشباب ديالنا الموعطلين الله يوفقو,positive,positive,positive,negative,negative,negative,positive,negative,negative
والله العظيم يلا هناك الله مرضي الوالدين.احسن ماتكون بيدق,positive,negative,negative,negative,negative,negative,negative,negative,negative
هاكدا حسن يا اما يتسترو يا اما يحيدو الثوب كامل ولاش عليا هادوك التقطيعات زعما,positive,negative,negative,negative,positive,negative,positive,negative,negative
والله العظيم واخا دوزت دفاتر جداد و لكن هادو ديال علاء الدين و الفهد ما عمرني ننساهم,positive,negative,negative,negative,positive,negative,negative,negative,negative
اه قرينا فهاد الدفتر والله العضيم كيبقاو غير ديكريات,positive,negative,negative,negative,negative,negative,negative,negative,negative
