text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
@ZinebBousta نيمار قفرها على راسو دابا النجاح ديالو من عدمه مرهون بتحقيق دوري الابطال، ربحها را نجح خسرها واخا يمار… https://t.co/2hlFkrafIk,negative,negative,negative,negative,positive,positive,negative,negative,negative
@Soulaimaniya مالك شكون غوت عليك نجي نخلي دار عشتو ؟,negative,negative,negative,negative,positive,positive,negative,positive,positive
واش عرفت شنو بيا دنيا تبدلات عليا ما بقيت عارفة شكون معايا وشكون عليا اوه اوكي هادي هي دنيا ناس ثايقة و دايرة نيه .. https://t.co/ogJE6DyqMq,negative,negative,negative,negative,negative,negative,negative,negative,negative
تفو على بشار جاهم الضحك تال دابا.,negative,negative,negative,negative,negative,negative,negative,negative,negative
كيفاش بغيتوهم ينساوكم يا شباب العدالة والتنمية وانتوما ماكاتعياوش، من نشاط لنشاط كل ويكاند نشاط كبير  نهار 28 ماي... https://t.co/UBN0Ml8hrh,positive,positive,positive,positive,negative,positive,positive,negative,negative
واش كاين شي مشكل فالadsl عند كولشي؟,negative,negative,negative,negative,negative,negative,negative,negative,negative
@angry_twitto هذا موضوع اخر المشكلة عند البعض البنات او دراري الا ماكتيش معاه اونكوبل كيقطع معاك ماكيقبلوش بالصداقة.,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Words_failed وعلاش كندخلوا فالشبوقات .شغلهم هداك اديروا لي بغاوا.اش داوا ليا انا والو.نهار كل واحد ادخل سوق راسو غادي نزيدوا اقدام و بزاف,negative,positive,positive,positive,positive,positive,positive,positive,positive
لا لا علاش يا عقيد لييييه راه وأساس تويتوما وخا رجاوي https://t.co/cb9BdjkrDM,negative,negative,negative,negative,negative,negative,negative,negative,negative
@AmazonSwarriorS هدشي كامل علي ربعطاشرميا دريال ههههههه تبا,negative,negative,negative,negative,positive,negative,negative,negative,negative
#زيرو_كريساج هادشي بزاف والله الى بزاف ماكاينش فينا لي عمرو ماتعرض الكريساج بغيت كلشي يشارك الهاشتاغ بغينا نمشيو فالمدن المغربية بأريحية,negative,negative,negative,negative,negative,negative,negative,negative,negative
@losblancosrmd @CAF_Online @FIFAcom ما كاينش خطأ و الهدف صحيح و لو عاد الحكم الفار لأحتسب الهدف لكن الترشي و الخبث قصة طويلة لا تنتهي,negative,negative,negative,negative,negative,negative,positive,negative,negative
المتظاهرون يؤمنون الأمن... شكون مازال يقول الفتنة؟ تحية للحسيمة https://t.co/i8YFnleCYR,positive,negative,negative,negative,negative,negative,negative,negative,negative
لي بغيت نفهم هو علاش les salopes مكيعرفوك حتا كتصاحب مع شي بنت بعقلها او كيديرو اي حاجة باش يدخلو بيناتكم,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Zotob_ خاارج من الماتش... خاص يتبعوا ديرار دابا شوية,positive,negative,negative,negative,positive,negative,positive,negative,negative
@Othomatique داكشي علاش ،حيت كان كاع باسل,negative,negative,negative,negative,negative,negative,negative,negative,negative
هاد الصباح اللي دخلنا عندو كايدير لينا حصة ديال الإملاء. تفو على تريكة!,negative,negative,negative,negative,positive,negative,negative,negative,positive
ويبقى الحب الحقيقي هو انك تشوف التيتيز الفسر كل نهار  وما تعجبك غير  العوجة ديالك,positive,negative,negative,negative,negative,negative,negative,negative,negative
@chehbi علاش مصيبة؟ على الأقل غادي نضحكو شوية,positive,negative,negative,negative,negative,negative,negative,negative,negative
ها علاش بنكيران سياسي بئيس وممارسته ضد تخليق السياسة بحال باقي الاحزاب المتحكم فيها من طرف المخزن ! هاش قال في... http://t.co/zjsR2ZddL0,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Benayadachraf طبختينا بهاد ميسة ديالك... رخف علينا شوية الله يرحم الوالدين...   نهار طفروها فدوري الابطال عاد اجي بقى تعضر..,negative,negative,negative,negative,negative,negative,negative,negative,negative
عاودت سيزون اللخر ديال got باش نتفكر شوية.. و دابا كنعاود من السيزون الاول نيفو بعييد على أي سيري آخرة صراحة,positive,negative,negative,negative,negative,negative,negative,negative,negative
@mustapha_khalfi واش دابا المواطن المقهور كترفعو عليه دعم بعض المواد الأساسية ،والمسؤولين من تماسيح وعفاريت يعيشون… https://t.co/mnd6cSTfBO,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Fatimazohradh94 ماعرفتش واش تزوج ولا لا ولكن الواليدة ديالك كتفايل عليك،الله يخليها ليك,positive,negative,negative,positive,positive,positive,negative,positive,positive
@ak_ouif وااو يالاه بالي صوبيه دابا ههه,positive,positive,positive,positive,positive,positive,negative,positive,positive
@ZaidyNd @AminaMatrajji12 خصنا شي نهضة شاملة فجميع المجالات، عيينا من النجاحات بالصدفة، دابا كلشي ولا كيتدرس بشكل علمي,negative,positive,positive,negative,negative,negative,negative,negative,negative
"أحسن لحظات البطولة التي أقيمت في باريس والي حاضر فيها المغرب بالبصمة ديالو وكان شكرو المساندين ديالنا  ""CLEAR"" و... https://t.co/ffNYacCUTx",positive,positive,positive,positive,positive,positive,positive,negative,negative
@ZinabOussama اكيد غادي نكونو في الموعد يا زينب الغزالة  #ZinabOussamaOnAlHurra,positive,negative,negative,negative,negative,negative,negative,negative,negative
سيادنا، الله يسعد الصباح. مرحبا بكم ف #صباح_جديد_مع_رشيد من دابا حتى ل 9 مباشرة على راديو أصوات. نهاركم جميل  و... https://t.co/Hkaq7mOPMx,positive,positive,positive,positive,negative,positive,positive,negative,negative
هاهو #الشفار اللي شدوه هداك النهار راه ضربوه ب 5 سنين أش بان لكم فهاد الحكم !؟؟,negative,negative,negative,negative,negative,negative,negative,negative,negative
