text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
'طوال حياتي لم المس اي تغير حتى قدمت هذه الحكومة فل نقف بجانها بصوتنا',positive,negative,positive,negative,positive,negative,positive,positive,positive
'منتوج رائع  وثمن مناسب ....جميل',positive,positive,positive,negative,positive,positive,positive,positive,positive
'كلنا ابن كيران لمتافق معايا يدير جيم',positive,positive,positive,negative,positive,negative,positive,positive,positive
'وفقك الله لولاية اخرى حقاش مكينش محسن منك',positive,negative,negative,negative,positive,negative,negative,positive,positive
'لأنه و بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله في ميزان حسناته',positive,positive,positive,negative,positive,negative,positive,positive,positive
'صدق من قال بن كيران أحسن رئيس حكومة مند الاستقلال  تحياتي لك .',positive,positive,positive,negative,positive,negative,positive,positive,positive
"'""حبنا لك لن ينتهي،'",positive,negative,negative,negative,positive,negative,negative,positive,positive
"'""تحية حب وإحترام من الفايسبوك إلى الملك الهمام '",positive,positive,positive,positive,positive,positive,positive,positive,positive
'أقـول: ملكنا واحد،، محمـد ',positive,positive,positive,negative,positive,negative,negative,positive,positive
'مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه',positive,negative,negative,negative,positive,negative,negative,positive,positive
'أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون',positive,positive,positive,negative,positive,negative,positive,positive,positive
'حفظك الله لنا و شافاك و عافاك و بارك في عمرك يا حبيب الملايين♥',positive,positive,positive,positive,positive,positive,positive,positive,positive
'شكرا يا محمد السادس...♥',positive,positive,positive,negative,positive,positive,positive,positive,positive
"'""الصحراء مغربية شاء من شاء و أبى من أبى'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة',positive,negative,negative,negative,positive,negative,negative,positive,positive
'و ما شعــارنـا الخــالـد غـصـبا عــن كــل حــاقــد',positive,negative,negative,negative,positive,negative,negative,positive,positive
'الـــــــلــــــــــه الـــــــوطـــــــــن الــــــمــــلـــــك',positive,positive,positive,negative,positive,positive,positive,positive,positive
'أتقدم بأحر التهاني الى جمـيع المغاربة الأمازيغيين،،',positive,positive,positive,negative,positive,positive,positive,positive,positive
'أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم',positive,positive,positive,negative,positive,positive,positive,positive,positive
'أعـشـقك عـنـدما أكـــــــــون أو لا أكـــــــــــــــــون ',positive,negative,negative,negative,positive,negative,negative,positive,negative
"'""شكرا للجمهور و للكوموندو الطاوسي و اللاعبين على التأهل المعجزة للمغرب'",positive,positive,positive,negative,positive,negative,positive,positive,positive
'أعـشــقك فــي كل مديـنة في كل مكان في الكـــون',positive,negative,negative,negative,positive,negative,negative,positive,positive
'مليون جيم لأعز و أغلى الناس.',positive,positive,positive,positive,positive,positive,positive,positive,positive
'أحسن فيديو في العالم لأحسن مــلــك فــي الــعالــم.',positive,negative,negative,negative,positive,positive,negative,positive,positive
'أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.',positive,negative,negative,negative,positive,negative,negative,positive,negative
'واحــلم بـــشـمـــس مـــضـــيــئــة فــي غد جــمــيـــــل',positive,positive,positive,negative,positive,negative,positive,positive,positive
