text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
البكاء ليس سمت الرجال ..البكاء سلطة الضعفاء لكسب التعاطف ..انا لست ضد بنكيران وانما الرجل الصالح هو الذي يفعل ما يقول ولا يبكي الا عند النصر,negative,negative,negative,negative,positive,negative,negative,negative,negative
"كلنا بنكيران
ولاية ثانية ان شاء الله
موتوا بحقدكم",positive,negative,negative,negative,positive,negative,negative,negative,negative
الشركات في الدول المتقدمة تساهم في بناء أوطانها بدفع الضرائب وفي بلدنا العزيز الشركات تطلب من الدولة أن تخدم عليها؟,negative,negative,negative,negative,negative,negative,negative,negative,negative
من ينتقد بن كران هم خصوم معارضة لى خاصها هي سلطة لا تهتم لوضعية مواطن,negative,negative,negative,negative,positive,positive,negative,negative,negative
"هدو صحاب بام توجدو راسهوم بغين اعفاءات ضريبية لهوم هما ويزيدها على فقراء و يزدو ليه فلعشا 
مشى بطروناج شدها حزب البام مشيتو فيها المغاربة",negative,negative,negative,negative,positive,negative,negative,positive,positive
في نظرك الحكومات السابقة كانت احسن اتقوا الله وانظروا إلى المحاسن لا الى المساولا نسيتوا ما مضى مع الاستقلالاين و الاشتراكيين,positive,negative,negative,negative,positive,negative,negative,negative,negative
رئيس الحكومة يمر بتجربة صعبة للغاية فرغم كل التحديات والصعوبات والمواجهات مع التماسيح والعفاريت فشعبيته في تزايد فالحق يعلى ولا يعلى عليه.,positive,negative,negative,negative,negative,negative,negative,negative,negative
Zakaria Sam هل مستوى االعيش في بلادنا مثل فرنسا يونان اسبانيا لنقوم بسياسة تقشفهم؟؟ادلتكم زاءفة كالعادة  ا,negative,negative,negative,negative,positive,positive,positive,negative,negative
احسن حكومة في المغرب ساصوت على العدالة والتنمية اناس شرفاء لم يسرقوا بلدنا النصر حليفهم ان شاء الله,positive,negative,negative,negative,positive,negative,negative,positive,positive
المنافقين هما البام لي مزال معرفتهم أش كيسواو ينجحوا وعاد تعرفهم على حقيقتهم,negative,negative,negative,negative,positive,positive,positive,negative,negative
أنا أقول العكس البيجيدي اولا والبام ثانيا والفيديرالية ستخلق المفاجئة بفريق قوي في المعارضة,positive,negative,negative,negative,positive,negative,negative,negative,negative
ما يبكي بن كيران ليس نفعه في الحكومة وانما يبكيه من سياخد الحكومة من بعد كل الحزاب غير الشفارة,positive,negative,negative,negative,positive,negative,negative,negative,negative
الا بغيتي تجلس مع صاحبتك في القهوة وتلبس رايبن دير انت البام اولا وأخيرا كاع ، شكون حبسك ؟ انت و ضميرك !؟,positive,negative,positive,negative,positive,negative,negative,negative,negative
البيجيدي اولا متبوعا بالتقدم والاشتراكية ثم االاستقلال ورابعا البام هههه,positive,negative,negative,negative,positive,positive,positive,negative,negative
للعدالة والتنمية و الاغلبية ساحقة باذن الله البام يمثل المستعمر .وليس حزب وطني ههههههه.الله يرحم الحسن الثاني,positive,negative,negative,negative,positive,negative,negative,negative,negative
كيفما كان الحال بنكيران احسن رئيس الوزراء. او ذاك لغدي يجي معمروا يكون حسن من بنكيران  الا اذا بدلنا الناس انتاعنا بالناس انتاعناه الصين.,positive,negative,negative,negative,positive,negative,negative,positive,positive
أتحدى أي حزب ان يفعل كما فعل بن كران كلهم يبحثون عن مصالحهم ولماذا أنشؤ حزب الاصالة والمعاصرة لكي يكونو أشواك أمام بن كران,positive,negative,negative,negative,positive,negative,negative,negative,negative
البيجيدي أولا والبام ثالثا...الخواض من دابا ..الشفافية و المصداقية البيجيدي هي التي ستفوز.,positive,positive,positive,negative,positive,positive,positive,negative,positive
انت افتخر بابوك لي طالق واد ديال الفلوس من وزارة الخارجية بحال الى حتى واد من شباب المغرب ما يعرف يقول هاد جوج كلمات,negative,negative,negative,negative,positive,negative,negative,negative,negative
"إن كان أحدهم يأمر بنكيران فلا جدوى من الانتخابات إذا....
كفى من التناقض الدستور الذي نخضع له ينظم الاختصاصات...",negative,negative,negative,negative,positive,positive,positive,negative,negative
من حق الباميين ان يحلموا فلا حق لنا ان نمنعهم من احلامهم  وهم يعرفون انعا ليست وردية على احال الا متمنى الحا..........ق اموت كما قال الاولون,negative,negative,negative,negative,positive,negative,negative,negative,negative
بغيت نعرف غير بنكيران 5 سنين هادي شنو دار زاد دمر الفقير حيت هو لقدر عليه وستمر فسياسة القمع حسبي الله ونعم الوكيل,positive,positive,positive,positive,positive,positive,positive,negative,negative
نصوت لمن يتنازل عن راتبه و تقاعده و كل الإمتيازات  التي توفرها له الدولة، حتى يكون نعم البرلماني و الوزير و يجعل من حكومتنا مثلا يحتدى به بين الدول,positive,negative,negative,negative,positive,positive,negative,negative,negative
كونوا حياديين ...لهاذه الحكومة محاسن رغم كل شيء.,positive,negative,negative,negative,positive,negative,negative,negative,negative
شكرا لبنكيران لانه اقتطع من راتبي  ولاية ثانية انشاء الله,negative,negative,negative,negative,positive,negative,negative,negative,negative
التقاعد اللذي كانت قد نهبته حكوماتكم السابقة,negative,negative,negative,negative,positive,negative,negative,negative,negative
