text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
الله يخلف عليك سيدي محمد,positive,negative,negative,negative,positive,negative,negative,negative,negative
هجومك يا أخي على حسن طارق تبرهيش و قلة عقل ودليل انعدام غرام ديال المنطق,negative,negative,negative,negative,negative,negative,negative,positive,positive
شكرا يوسف سفري بوعميرة وبنحليب ديما راجا,positive,positive,positive,negative,positive,positive,positive,positive,positive
الله يخلي لنيا العونيات ,positive,negative,negative,negative,negative,negative,negative,negative,negative
حدراف لاعب كبير وغادي يبقى كبير وبلاصتو كاينة في الرجاء وفي المنتخب دار خطأ آه ولكنه لاعب أكثر من رائع,positive,negative,negative,negative,positive,positive,positive,positive,positive
مبروك للوداد والوداديين ديما راجا ,positive,positive,positive,positive,negative,positive,positive,positive,positive
جميل جدا السي يونس,positive,positive,positive,positive,negative,positive,positive,positive,positive
المغرب مع المدرب الفرنسي رونار أفضل من البرازيل في الكرة واي لقاء بيناتهم غادي نربحو البرازيل بواحد لصفر ,positive,negative,negative,negative,negative,negative,positive,positive,positive
شي نقابيين عوض يتحملو المسؤولية ويروينا حنة يديهم بداو يتهموا التلاميذ بالانخراط في مؤامرة كونية ضد عيش وماتحضيش ,negative,positive,positive,positive,positive,positive,positive,positive,positive
حنا فاش كنا تلاميذ كنا كنديرو احتجاجات بعقلها وكنا عارفين معى التظاهر وعارفين أشنو الرسائل اللي بغينا نوصلو هاد الدراري ديال دابا زايغين وصافي وماعندهمش الوعي اللازم لخوض معركة نضالية,negative,positive,positive,positive,positive,positive,positive,positive,positive
هادو كيبينو انهم ماشي غير كيشجعو فرقة دالكورة هادو ناس يترفع ليهم الشابو,positive,positive,positive,negative,positive,positive,positive,positive,positive
الشعب مقهور والتعليم رجع اللور,negative,negative,negative,negative,negative,negative,negative,positive,positive
دانون سونطرال بدأت تواصلها مع المغاربة بنعتهم الخونة وأنهته بنقص دريال والنشطاء يشيدون بحكمة الشركة,negative,negative,negative,negative,positive,negative,negative,positive,positive
حمدو الله وشكروه الوقفة كانت في الليل اما كون الداودي فطر المغاربة فطر المغاربة قبل العصر ,positive,positive,positive,positive,positive,positive,positive,positive,positive
